CodPar,Descri,CovPar,UniPar,RenPar,PreUni,UniCanRen,CanPar,Coste,RPC,UniMed
"P0001053","INSTALACION ELECTRICA DE TABLERO METALICO CONVERTIBLE, EMBUTIDO, CON PUERTA, 2 FASES + NEUTRO, 8 CIRCUITOS, BARRAS DE 125 AMP. NO INCLUYE INTERRUPTOR TERMOMAGNETICO (BREAKER).","E.551.121.212","pza",2.0000000000000000e+01,1.2928999999999999e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001171","TUBERIA DE AGUAS CLARAS, DE PVC  PARA AGUA FRIA, DIAMETRO 1/2"" (13mm), ASTM, EMBUTIDA O ENTERRADA. INCLUYE CONEXIONES.","E.611.091.013","m",3.5000000000000000e+01,1.3430000000000000e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001172","TUBERIA DE AGUAS CLARAS, DE PVC ASTM SOLDADA PARA AGUA FRIA, DIAMETRO 3/4"" (19mm), ASTM, EMBUTIDA O ENTERRADA. INCLUYE CONEXIONES. ","E.611.091.019","m",1.5000000000000000e+02,1.6700000000000003e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001173","TUBERIA DE AGUAS CLARAS, DE PVC ASTM SOLDADA PARA AGUA FRIA, DIAMETRO 1"" (25mm), ASTM, EMBUTIDA O ENTERRADA. INCLUYE CONEXIONES. ","E.611.091.025","m",7.0000000000000000e+01,1.4200000000000001e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001209","TUBERIA DE AGUAS RESIDUALES, PVC, DIAMETRO 2"" (51mm), e=3.2mm EMBUTIDA O ENTERRADA. INCLUYE CONEXIONES. ","E.612.081.051","m",1.5000000000000000e+02,1.4230000000000000e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001211","TUBERIA DE AGUAS RESIDUALES, PVC, DIAMETRO 4"" (102mm), e=3.2mm EMBUTIDA O ENTERRADA. INCLUYE CONEXIONES. ","E.612.081.102","m",2.0000000000000000e+02,2.1680000000000000e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001217","TUBERIA PARA VENTILACION, DE PVC LIVIANO e=1.8mm, DIAMETRO 2"" (51mm) . EMBUTIDA O ENTERRADA. INCLUYE CONEXIONES. ","E.613.071.051","m",2.5000000000000000e+01,1.7879999999999999e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001250","PUNTOS DE AGUAS RESIDUALES, DE PVC, DIAMETRO 2"" (51mm), e=3.2mm EMBUTIDA O ENTERRADA. INCLUYE CONEXIONES. ","E.622.051.051","pto",2.5000000000000000e+01,2.2780000000000001e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001251","PUNTOS DE AGUAS RESIDUALES, DE PVC, DIAMETRO 4"" (102mm), e=3.2mm EMBUTIDA O ENTERRADA. INCLUYE CONEXIONES. ","E.622.051.102","pto",2.5000000000000000e+01,3.2689999999999998e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001303","INODORO (SANITARIO) DE ASIENTO, TANQUE, DESCARGA AL PISO, BLANCO O COLOR CLARO, LINEA ECONOMICA CONVENCIONAL. INCLUYE TAPA DE POCETA.","E.662.111.111","pza",5.0000000000000000e+01,2.4035999999999999e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001321","DUCHA, INCLUYENDO GRUPO MEZCLADOR, POMO  Y REGADERA","E.667.120.031","pza",3.0000000000000000e+01,1.9750999999999999e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001367","CONCRETO Fc 200 kgf/cm2 A LOS 28 DIAS, PARA LA CONSTRUCCION DE CAMINERIAS, CORRESPONDIENTE A OBRAS DE SERVICIO","E.802.303.020","m3",8.6000000000000000e+01,2.2645000000000002e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0001661","SUMINISTRO TRANSPORTE Y COLOCACION DE POLVILLO PARA OBRAS DE DRENAJE.","E.S/C","m3",4.5000000000000000e+01,3.0649999999999999e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,2
"P0002002","COMPACTACION DE RELLENOS CON APISONADORES DE PERCUSION, CORRESPONDIENTE A LOS ASIENTOS DE FUNDACIONES, ZANJAS, ETC. ","M.317.000.000","m3",3.7500000000000000e+01,3.0129999999999999e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0002329","ENCOFRADO DE MADERA TIPO RECTO, ACABADO CORRIENTE EN CAMINERIAS, INCLUYENDO MACIZADOS","M.342.010.113","m2",1.2000000000000000e+02,5.1540000000000006e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0002330","ENCOFRADO DE MADERA TIPO RECTO, ACABADO CORRIENTE EN LOSAS, INCLUYENDO MACIZADOS","M.342.010.113","m2",4.0000000000000000e+01,6.8839999999999989e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0002544","SUMINISTRO, TRANSPORTE Y COLOCACION DE VENTANAS CORREDERAS DE PERFILES DE PVC. INCLUYE EL VIDRIO.","M.437.023.231","UND",1.0000000000000000e+02,1.1858000000000000e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,3
"P0002673","INSTALACION ELECTRICA DE CABLE DE COBRE, TRENZADO, REVESTIDO, TW, CALIBRE 12 AWG (2.32mm) . ","M.521.222.023","m",1.0000000000000000e+03,2.8700000000000001e+00,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0002674","INSTALACION ELECTRICA DE CABLE DE COBRE, TRENZADO, REVESTIDO, TW, CALIBRE 14 AWG","M.521.222.023","m",2.8000000000000000e+02,2.1699999999999999e+00,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0002930","SUMINISTRO, TRANSPORTE Y COLOCACION DE LLAVE DE PASO, TIPO COMPUERTA, DE PVC, DIAMETRO 3/4"" (19mm) .","M.631.010.019","pieza",2.5000000000000000e+01,3.3399999999999999e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0002986","LAVAMANOS  DE 1 LLAVE, BLANCO O COLOR CLARO, DE ANCHO MENOR A 54cm, RECTANGULAR. INCLUYE GRIFERIA,","M.661.110.111","pieza",3.0000000000000000e+01,2.4691999999999999e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0003174","PENDIENTE EN CONCRETO F´C 180KG/CM 2, E=5 CM, EN TECHOS.","M.802.301.S/C","M2",1.8000000000000000e+02,1.9000000000000000e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,1
"P0003198","SUMINISTRO, TRANSPORTE Y COLOCACION DE CILINDRO PARA BOCA DE VISITA M DE 1.22m DE DIAMETRO. ","M.804.300.122","m",2.0000000000000000e+00,7.1462000000000000e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0003576","SUMINISTRO, TRANSPORTE Y COLOCACION DE TUBERIA DE PVC, CLASE AB, D=4"" 110mm E-JA ","U.414.326.024","m",1.0000000000000000e+02,5.0609999999999999e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0003606","SUMINISTRO Y TRANSPORTE DE TEE PVC DE 110x110mm CLASE AC JA-JA-JA ","U.420.463.043","PZA",1.0000000000000000e+01,9.3849999999999994e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0003641","SUMINISTRO Y TRANSPORTE DE TAPON MACHO DE PVC D=110mm (4"") CLASE AC JA ","U.420.963.024","PZA",1.0000000000000000e+01,7.3280000000000001e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0003820","PERCHA DE 5  AISLADORES DE BT, ARREGLO EN PASO.","U.622.110.011","PIEZA",2.6000000000000000e+01,3.6412000000000000e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,3
"P0003821","PERCHA DE 5  AISLADORES DE BT, ARREGLO EN TERMINAL","U.622.110.011","PIEZA",2.2000000000000000e+01,3.6728000000000003e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,3
"P0003897","PINTURA DE ESMALTE EN POSTE BT 27""","U.694.100.000","pza",1.0000000000000000e+01,1.2098999999999999e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0003898","PINTURA DE ESMALTE EN POSTE BT 37""","U.694.100.000","pza",1.0000000000000000e+01,1.1413000000000000e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0003997","TRANSPORTE DE MAQUINARIA PESADA PARA LA PREPARACION DEL SITIO, DRENAJES, MOVIMIENTO DE TIERRA, BASES, ASFALTOS, CON PESO DE 10 A 30 T. POR MAQUINARIA. ","U.901.010.000","tfxkm",5.0000000000000000e+02,1.8700000000000001e+00,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0004757","SUMINISTRO TRANSPORTE Y COLOCACION DE MARCO Y TAPA DE HIERRO FUNDIDO PESADO PARA BOCA DE VISITA ","C.200.400.101","und",5.0000000000000000e+00,4.1731000000000000e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0004769","CONSTRUCCION DE BASES DE CONCRETO PARA BOCAS DE VISITA PREFABRICADAS, INCLUYE EL TRANSPORTE DEL CEMENTO Y AGREGADOS HASTA 50km EXCLUYE EL REFUERZO METALICO. ","C.200.400.400","m3",1.0000000000000000e+01,2.6931999999999999e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0005133","INSTALACION ELECTRICA DE INTERRUPTOR TERMOMAGNETICO (BREAKER) CON ENCHUFE, 1 POLO, 10 kA ICC, 120/240V, CAPACIDAD 20 A.","E.561.310.020","pza",2.8000000000000000e+01,2.1849999999999998e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0005222","PUNTO DE GAS TUBERIA DE COBRE DIAMETRO 1/2"" EMBUTIDO. INCLUYE CONEXIONES ","E.625.001.013","PTO",1.0000000000000000e+01,1.2170000000000000e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0005275","SUMINISTRO, TRANSPORTE E INSTALACION DE TANQUE CILINDRICO DE POLIETILENO, AGUAS BLANCAS CAPACIDAD 900 LTS.","E.707.731.416","Und.",2.0000000000000000e+01,2.5960000000000002e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,3
"P0005453","SUMINISTRO, TRANSPORTE E INSTALACION DE EXTRACTORES HELICOIDALES","E.718.111.152","UND",5.0000000000000000e+00,4.5169999999999999e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,3
"P0005708","CAJA DE CONTROL DE ALUMBRADO DE 2x60 ","E.782.000.000","pza",3.5000000000000000e+01,1.0384400000000001e+03,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0005722","SUMINISTRO, TRANSPORTE Y COLOCACION DE CONOS DE DIAMETROS O.61m Y 1.22m Y ALTURA UTIL DE 1.00m, PARA BOCA DE VISITA.","E.804.400.612","pza",3.0000000000000000e+00,5.9575999999999999e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0005815","CONCRETO PREMEZCLADO DE f´c 250 kgf/cm2 A LOS 28 DIAS, ASENTAMIENTO 7"", CON BOMBA ACABADO CORRIENTE, PARA MUROS PORTANTES Y TECHOS PLANOS.","E.331.100.S/C","m3",9.0000000000000000e+01,2.2762000000000000e+02,"U",1.0000000000000000e+00,0,0.00000000e+00,2
"P0005841","S/T/C DE CENTRO PISO CIRCULAR ESTANDAR, DE BRONCE, PARA TUBO DE DESCARGA EMBUTIDO DE 2"" (51mm) .","M.669.321.051","pieza",4.0000000000000000e+01,1.9640000000000001e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"P0005853","CONSTRUCCION DE RELLENO CON MATERIAL MEJORADO COMPACTADO CON EQUIPOS DE PERCUCION.","M.230.000.S/C","m3",1.0000000000000000e+03,1.5190000000000000e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,2
"P0005858","EXCAVACION DE CUALQUIER TIPO DE MATERIAL, CON EMPLEO DE TRACTOR Y EQUIPO CARGADOR, CARGA, TRANSPORTE HASTA 200m DE DISTANCIA Y DESCARGA.","C.100.300.101","M3",4.5000000000000000e+02,5.3500000000000005e+00,"U",1.0000000000000000e+00,0,0.00000000e+00,0
